DATE,PRECTOTCORR,RH2M,T2M_MAX,T2M_MIN,WS2M
20251204,0.0,80.34,22.86,9.01,1.53
20251205,0.0,82.44,22.18,9.63,1.59
20251206,0.0,72.95,21.45,6.81,1.28
20251207,0.0,70.9,21.92,8.56,1.21
20251208,0.0,67.53,22.51,8.28,1.18
20251209,0.0,73.3,21.95,8.12,1.44
20251210,0.0,71.01,22.18,6.96,1.23
20251211,0.0,66.28,22.59,7.35,1.1
20251212,0.0,66.65,23.03,11.23,0.82
20251213,0.0,74.07,22.91,10.16,1.14
20251214,0.0,77.91,22.45,9.05,1.07
20251215,0.0,79.79,22.58,8.87,0.94
20251216,0.0,78.92,22.99,8.94,0.9
20251217,0.0,74.85,22.53,8.98,1.04
20251218,0.0,75.17,21.31,7.33,1.23
20251219,0.0,75.65,20.8,7.61,1.15
20251220,0.0,80.42,21.27,6.95,1.23
20251221,0.0,83.15,21.82,7.29,1.05
20251222,0.0,82.88,22.06,8.23,1.3
20251223,0.0,81.54,21.09,10.33,1.1
20251224,0.0,77.53,22.3,8.96,1.43
20251225,0.0,77.56,22.14,8.46,1.19
20251226,0.0,79.15,22.02,8.79,1.12
20251227,0.0,77.56,21.36,8.12,1.09
20251228,0.0,75.25,21.65,9.44,0.9
20251229,0.0,73.61,22.04,8.46,1.01
20251230,0.0,69.48,22.74,7.64,0.85
20251231,0.0,70.0,23.91,10.22,0.85
20260101,0.0,75.85,24.25,9.69,1.23
20260102,0.0,72.26,24.45,12.33,1.02
20260103,0.0,76.38,24.09,12.06,1.07
20260104,0.0,83.25,23.44,10.65,1.29
20260105,0.0,80.65,22.21,9.84,1.44
20260106,0.0,75.84,21.91,6.78,1.57
20260107,0.0,75.32,21.97,6.44,1.53
20260108,0.0,70.1,22.25,6.68,1.62
20260109,0.0,68.03,21.7,6.12,1.55
20260110,0.0,72.81,21.55,6.55,1.58
20260111,0.0,70.43,23.02,8.28,1.56
20260112,0.0,73.5,22.67,8.24,1.67
20260113,0.0,72.3,23.41,8.7,1.36
20260114,0.0,71.27,23.28,9.97,1.21
20260115,0.0,72.37,23.22,10.06,1.29
20260116,0.0,64.7,22.56,7.63,1.07
20260117,0.0,55.18,23.64,8.75,0.93
20260118,0.0,61.53,25.49,11.06,1.09
20260119,0.0,64.77,25.98,9.89,1.27
20260120,0.0,62.3,26.43,13.56,1.17
20260121,0.67,70.7,24.95,10.87,1.33
20260122,0.0,68.81,24.48,9.65,1.49
20260123,0.0,65.54,25.31,9.92,1.16
20260124,0.0,67.74,26.35,11.46,1.44
20260125,0.0,63.98,25.76,11.79,1.21
20260126,0.0,69.59,25.75,11.93,1.41
20260127,0.0,71.11,26.15,11.85,1.38
20260128,0.36,70.8,27.27,12.37,1.35
20260129,0.32,77.14,26.13,13.39,1.18
20260130,0.0,75.32,26.29,12.68,1.3
20260131,0.0,71.17,27.25,12.75,1.19
20260201,0.0,49.82,27.96,15.41,1.3
20260202,0.0,50.12,28.54,14.18,1.56
20260203,0.0,48.47,29.07,14.57,1.51
20260204,0.0,51.96,28.98,15.01,1.58
20260205,0.0,52.67,28.73,15.36,1.33
20260206,0.0,47.3,28.89,15.44,1.22
20260207,0.0,37.84,28.17,13.96,1.25
20260208,0.0,35.68,28.4,13.89,1.12
20260209,0.0,34.93,28.84,13.83,0.89
20260210,0.0,36.04,29.67,15.17,0.92
20260211,0.0,37.49,30.35,15.01,1.38
20260212,0.0,40.9,30.04,15.89,1.16
20260213,0.0,43.51,30.29,15.71,1.13
20260214,0.0,43.65,30.6,18.08,0.85
20260215,0.0,42.45,31.08,17.26,1.32
20260216,0.0,34.02,30.91,15.46,1.72
20260217,0.0,33.75,30.75,14.95,1.52
20260218,0.0,34.87,31.16,15.87,1.18
20260219,0.0,39.19,31.55,15.99,1.5
20260220,0.0,41.92,31.68,17.14,1.41
20260221,0.0,39.04,32.47,18.31,0.93
20260222,0.0,41.71,32.57,19.45,1.25
20260223,0.0,39.21,32.96,20.01,0.77
20260224,0.0,37.62,33.15,19.57,0.88
20260225,0.0,35.14,32.12,19.84,1.4
20260226,0.0,33.45,31.88,19.22,1.37
20260227,0.0,33.37,32.94,19.8,1.01
20260228,0.0,38.27,33.63,19.91,1.12
20260301,0.0,41.23,34.23,22.22,1.33
20260302,0.0,35.21,34.82,19.77,1.26
20260303,0.0,29.41,34.89,19.55,1.19
20260304,0.0,26.84,35.59,19.84,1.24
20260305,0.0,24.97,36.3,20.93,1.63
20260306,0.0,29.73,36.4,20.0,1.44
20260307,0.0,30.17,35.79,20.42,1.45
20260308,0.0,35.8,35.96,20.29,1.19
20260309,0.0,37.04,36.34,21.32,1.18
20260310,0.0,34.35,36.84,21.3,1.09
